molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL377614,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,250.0,nM
CHEMBL378662,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(C(=O)CN2CCNCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,1550.0,nM
CHEMBL207541,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(C(=O)CN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,5400.0,nM
CHEMBL208562,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCN2CCN(C)CC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,546.0,nM
CHEMBL207364,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1N)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCN1CCOCC1,IC50,787.0,nM
CHEMBL210545,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,IC50,394.0,nM
CHEMBL207013,COCCOCCN1C(=O)[C@@H](c2ccc(Cl)cc2)N([C@@H](C)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,12500.0,nM
CHEMBL207202,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,2390.0,nM
CHEMBL377639,C[C@@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@H]1c1ccc(Cl)cc1,IC50,13100.0,nM
CHEMBL377203,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,367.0,nM
CHEMBL378851,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@H]1c1ccc(Cl)cc1,IC50,6250.0,nM
CHEMBL209201,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,2700.0,nM
CHEMBL210151,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,856.0,nM
CHEMBL361103,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,420.0,nM
CHEMBL210913,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,IC50,1110.0,nM
CHEMBL380214,C#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,IC50,710.0,nM
CHEMBL207845,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(OC(F)(F)F)cc1,IC50,1040.0,nM
CHEMBL383727,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(C(F)(F)F)cc1,IC50,980.0,nM
CHEMBL208007,O=C(O)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(C(c2ccc(Cl)cc2)C2CC2)C(=O)c2cc(I)ccc21,IC50,2150.0,nM
CHEMBL210151,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,700.0,nM
CHEMBL207505,C[C@@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,13300.0,nM
CHEMBL377524,O=C(O)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,8220.0,nM
CHEMBL382389,CCN(CC)C(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,2130.0,nM
CHEMBL210409,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,2820.0,nM
CHEMBL377462,CN(C)CCN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,36000.0,nM
CHEMBL209169,O=C(O)CCCCN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,510.0,nM
CHEMBL411220,O=C(O)CCN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,1090.0,nM
CHEMBL209156,O=C(O)CN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,10200.0,nM
CHEMBL208020,O=C(O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(Cc2ccncc2)C(=O)C1c1ccc(Cl)cc1,IC50,4350.0,nM
CHEMBL210443,CNC(=O)CN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,3330.0,nM
CHEMBL443053,CN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,2180.0,nM
CHEMBL381185,O=C1Nc2ccc(I)cc2C(=O)N(Cc2ccc(Cl)cc2)[C@H]1c1ccc(Cl)cc1,IC50,,
CHEMBL383471,CN(C)CCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,27000.0,nM
CHEMBL426321,O=C(O)CCCCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,870.0,nM
CHEMBL207255,O=C(O)CCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,850.0,nM
CHEMBL382422,O=C(NCCO)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,2120.0,nM
CHEMBL379656,O=C(O)C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,540.0,nM
CHEMBL361103,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,38000.0,nM
CHEMBL210913,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,IC50,10700.0,nM
CHEMBL380214,C#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,IC50,10300.0,nM
CHEMBL207845,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(OC(F)(F)F)cc1,IC50,19000.0,nM
CHEMBL208007,O=C(O)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(C(c2ccc(Cl)cc2)C2CC2)C(=O)c2cc(I)ccc21,IC50,,
CHEMBL210151,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,7000.0,nM
CHEMBL207505,C[C@@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,,
CHEMBL377524,O=C(O)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,13000.0,nM
CHEMBL382389,CCN(CC)C(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,9000.0,nM
CHEMBL210409,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,25000.0,nM
CHEMBL381185,O=C1Nc2ccc(I)cc2C(=O)N(Cc2ccc(Cl)cc2)[C@H]1c1ccc(Cl)cc1,IC50,,
CHEMBL383471,CN(C)CCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,,
CHEMBL426321,O=C(O)CCCCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,31000.0,nM
CHEMBL207255,O=C(O)CCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,,
CHEMBL382422,O=C(NCCO)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,,
CHEMBL379656,O=C(O)C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,24000.0,nM
CHEMBL209169,O=C(O)CCCCN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,38000.0,nM
CHEMBL383727,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(C(F)(F)F)cc1,IC50,11000.0,nM
CHEMBL361103,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,128000.0,nM
CHEMBL210913,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,IC50,30000.0,nM
CHEMBL380214,C#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,IC50,69000.0,nM
CHEMBL207845,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(OC(F)(F)F)cc1,IC50,67000.0,nM
CHEMBL383727,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(C(F)(F)F)cc1,IC50,30000.0,nM
CHEMBL210151,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,67000.0,nM
CHEMBL207505,C[C@@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,128000.0,nM
CHEMBL377524,O=C(O)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,60000.0,nM
CHEMBL382389,CCN(CC)C(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,37000.0,nM
CHEMBL210409,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,67000.0,nM
CHEMBL209169,O=C(O)CCCCN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,IC50,128000.0,nM
CHEMBL426321,O=C(O)CCCCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,90000.0,nM
CHEMBL379656,O=C(O)C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,70000.0,nM
CHEMBL377614,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,16000.0,nM
CHEMBL377614,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,80000.0,nM
CHEMBL377203,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,1300.0,nM
CHEMBL377203,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,10000.0,nM
CHEMBL210545,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,IC50,1100.0,nM
CHEMBL210545,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,IC50,57000.0,nM
CHEMBL207364,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1N)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCN1CCOCC1,IC50,1700.0,nM
CHEMBL207364,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1N)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCN1CCOCC1,IC50,10000.0,nM
CHEMBL208562,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCN2CCN(C)CC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,800.0,nM
CHEMBL208562,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCN2CCN(C)CC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,8000.0,nM
CHEMBL425780,CC(O)c1ccc(Cl)cc1[N+](=O)[O-],IC50,,
CHEMBL425780,CC(O)c1ccc(Cl)cc1[N+](=O)[O-],IC50,,
CHEMBL425780,CC(O)c1ccc(Cl)cc1[N+](=O)[O-],IC50,,
CHEMBL379487,CN1CCN(CCCCN2C(=O)[C@H](c3ccc(Cl)cc3)N(Cc3ccc(Cl)cc3N)C(=O)c3cc(I)ccc32)CC1,IC50,5660.0,nM
CHEMBL380399,CN1CCN(CCCN2C(=O)[C@H](c3ccc(Cl)cc3)N(Cc3ccc(Cl)cc3N)C(=O)c3cc(I)ccc32)CC1,IC50,5410.0,nM
CHEMBL212747,CN(C)CCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,IC50,12200.0,nM
CHEMBL378998,CN(C)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,IC50,2830.0,nM
CHEMBL212568,Cc1cc(Cl)ccc1CN1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,19000.0,nM
CHEMBL427042,Nc1cc(C2(N3C(=O)c4cc(I)ccc4N(CCN4CCOCC4)C(=O)[C@@H]3c3ccc(Cl)cc3)CC2)ccc1Cl,IC50,25000.0,nM
CHEMBL378030,O=C1[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2F)C(=O)c2cc(I)ccc2N1CCN1CCOCC1,IC50,8600.0,nM
CHEMBL208999,C[C@H](c1cc(O)c(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,2700.0,nM
CHEMBL210853,C[C@H](c1cc(F)c(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,2600.0,nM
CHEMBL380178,Nc1cc(Cl)ccc1CN1C(=O)c2cc(I)ccc2N(CCCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,3600.0,nM
CHEMBL208625,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)nc2N)C(=O)c2cc(I)ccc21,IC50,11600.0,nM
CHEMBL380209,C=CCOc1cc(Cl)ccc1CN1C(=O)c2cc(I)ccc2N(CCOCCOC)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,12500.0,nM
CHEMBL424876,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2O)C(=O)c2cc(I)ccc21,IC50,2440.0,nM
CHEMBL210545,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,IC50,700.0,nM
CHEMBL208554,Nc1cc(Cl)ccc1CN1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,810.0,nM
CHEMBL207332,CC(c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,250.0,nM
CHEMBL379293,CC(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,850.0,nM
CHEMBL377203,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,IC50,790.0,nM
CHEMBL191334,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,IC50,90.0,nM
CHEMBL361103,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,IC50,420.0,nM
CHEMBL191334,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,IC50,13600.0,nM
CHEMBL515487,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2)c(OC(C)C)c1,IC50,90.0,nM
CHEMBL462089,COc1cc(CCN(C)C)c2c(c1O)SSSSS2,IC50,58600.0,nM
CHEMBL461462,NCCc1c2c(c3nccc4c3c1Nc1ccccc1-4)OCS2,IC50,58600.0,nM
CHEMBL513108,CSC1=C(CCN)c2nc3ccccc3c3ccnc(c23)C1=O,IC50,101300.0,nM
CHEMBL462090,COc1c(C)c(CCN(C)C)c2c(c1OC)SSSSS2,IC50,120800.0,nM
CHEMBL151233,COc1cc(CCN)c2c(c1OC)SSSSS2,IC50,295000.0,nM
CHEMBL578028,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,IC50,16.4,nM
CHEMBL577393,CN1CCN(CCNC(=O)[C@@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,IC50,25.7,nM
CHEMBL578238,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,IC50,56.0,nM
CHEMBL379173,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,IC50,28.3,nM
CHEMBL575121,CN1CCC(CCNC(=O)[C@@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,IC50,32.4,nM
CHEMBL575538,COCCOCCNC(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,IC50,32.4,nM
CHEMBL576342,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,IC50,157.0,nM
CHEMBL566955,CC(C)(C)C[C@H]1N[C@@H](C(=O)NC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,IC50,189.0,nM
CHEMBL572933,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,IC50,162.0,nM
CHEMBL582845,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCNC(=O)CCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Cc2cc(O)ccc21)C(=O)NC(C)(C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)NC1(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(N)=O)CC1,IC50,140.0,nM
CHEMBL567426,Brc1ccc([C@H]2C3=C(N=C4NC=NN42)c2ccccc2O[C@@H]3c2ccc(Br)cc2)cc1,IC50,50000.0,nM
CHEMBL4524057,Cc1ccc(CCNC(=O)N(CC(CCCCN)N(CC(CCC(=O)O)NC(=O)CCC(C)C)C(=O)NCCCC2CCCCC2)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc2ccc(Br)cc2)cc1,IC50,2300.0,nM
CHEMBL4524095,CC(C)CCC(=O)NC(CCC(=O)O)CN(C(=O)NCCCC1CCCCC1)C(CCCCN)CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(Br)cc1,IC50,2800.0,nM
CHEMBL4524109,CC(C)CCC(=O)NC(CCC(=O)O)CN(C(=O)NCCCC1CCCCC1)C(CCCCN)CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(F)cc1,IC50,2600.0,nM
CHEMBL4524063,NCCCCC(CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(Br)cc1)N(CC(CCC(=O)O)NC(=O)CCC1CCCCC1)C(=O)NCCCC1CCCCC1,IC50,2800.0,nM
CHEMBL593927,NCCCCC(CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(Br)cc1)N(CC(CCC(=O)O)NC(N)=O)C(=O)NCCCc1ccc(Br)cc1,IC50,8200.0,nM
CHEMBL4524093,NCCCCC(CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(Br)cc1)N(CC(CCC(=O)O)NC(=O)[C@@H]1CCCN1)C(=O)NCCCC1CCCCC1,IC50,8200.0,nM
CHEMBL4524068,NCCCCC(CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(Br)cc1)N(CC(CCC(=O)O)NC(=O)Cc1ccccc1)C(=O)NCCCC1CCCCC1,IC50,10500.0,nM
CHEMBL4524084,CC(C)CCC(=O)N[C@@H](CCCC(=O)O)CN(C(=O)NCCCC1CCCCC1)[C@@H](CCCCN)CN(C(=O)NCCc1ccc(Br)cc1)[C@@H](CCCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(F)cc1,IC50,5900.0,nM
CHEMBL593074,CC(C)CCCNC(=O)N(CC(CCC(=O)O)NC(N)=O)C(CCCCN)CN(C(=O)NCCc1ccc(Br)cc1)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc1ccc(Br)cc1,IC50,9200.0,nM
CHEMBL4524070,Cc1ccc(CCNC(=O)N(CC(CCCCN)N(CC(CCC(=O)O)NC(=O)CCC(C)C)C(=O)NCCCC2CCCCC2)C(CCC(=O)O)CN(CCC(N)=O)C(=O)NCCCc2ccc(F)cc2)cc1,IC50,2900.0,nM
